,abv,beer_link,beer_name,beer_style,beer_style_match,brewery,rDev,user_rating,good,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,csv_name,style_name,match_name
5,8.7,https://www.beeradvocate.com/beer/profile/68/97457/,The Truth Imperial IPA (India Pale Ale),American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,5.6,4.33,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
80,5.9,https://www.beeradvocate.com/beer/profile/130/101458/,Shake Chocolate Porter,American Porter,americanporter,Boulder Beer / Wilderness Pub,7.2,4.3,good,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
9,8.7,https://www.beeradvocate.com/beer/profile/345/99873/,DirtWolf,American Double / Imperial IPA,americandoubleimperialipa,Victory Brewing Company - Downingtown,0.2,4.29,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
89,8.5,https://www.beeradvocate.com/beer/profile/345/87404/,Red Thunder,Baltic Porter,balticporter,Victory Brewing Company - Downingtown,9.8,4.25,good,dark ,3,0,0,0,2,0,caramel,0,0,0,2,balticporter,Baltic Porter,balticporter
53,7.5,https://www.beeradvocate.com/beer/profile/694/15881/,Tröegs Nugget Nectar,American Amber / Red Ale,americanamberredale,Tröegs Brewing Company,1.9,4.24,good,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
15,4.5,https://www.beeradvocate.com/beer/profile/345/90546/,Swing Session Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Victory Brewing Company - Downingtown,19.5,4.23,good,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
16,6.5,https://www.beeradvocate.com/beer/profile/42/593/,Rare Vos (Amber Ale),Belgian Pale Ale,belgianpaleale,Brewery Ommegang,3.7,4.22,good,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
50,7.5,https://www.beeradvocate.com/beer/profile/694/71969/,Tröegs Perpetual IPA,American IPA,americanipa,Tröegs Brewing Company,3.7,4.22,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
30,5.9,https://www.beeradvocate.com/beer/profile/392/81883/,Last Chance IPA,American IPA,americanipa,Weyerbacher Brewing Co.,19.7,4.2,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
4,8.2,https://www.beeradvocate.com/beer/profile/3818/57908/,2XIPA,American Double / Imperial IPA,americandoubleimperialipa,Southern Tier Brewing Company,3.7,4.17,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
2,9.1,https://www.beeradvocate.com/beer/profile/18539/97414/,Sixteen Point Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,Devils Backbone Brewing Company,8.6,4.16,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
3,11.5,https://www.beeradvocate.com/beer/profile/68/35754/,Double Dog Double IPA,American Double / Imperial IPA,americandoubleimperialipa,Flying Dog Brewery,6.4,4.15,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
1,7.85,https://www.beeradvocate.com/beer/profile/220/74986/,Lagunitas Sucks (Brown Shugga Substitute Ale),American Double / Imperial IPA,americandoubleimperialipa,Lagunitas Brewing Company,5.1,4.1,good,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
10,9.5,https://www.beeradvocate.com/beer/profile/345/160104/,Sour Monkey,American Wild Ale,americanwildale,Victory Brewing Company - Downingtown,2,4.1,good,gold,3,0,0,0,2,0,0,3,0,0,0,americanwildale,American Wild Ale,americanwildale
37,7.25,https://www.beeradvocate.com/beer/profile/898/25755/,Loose Cannon Hop3 IPA,American IPA,americanipa,Heavy Seas Beer,2.5,4.1,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
38,6.2,https://www.beeradvocate.com/beer/profile/220/916/,Lagunitas IPA,American IPA,americanipa,Lagunitas Brewing Company,5.4,4.1,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
45,7,https://www.beeradvocate.com/beer/profile/16096/39732/,Hop Explosion,American IPA,americanipa,Allentown Brew Works,14.5,4.1,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
75,5.2,https://www.beeradvocate.com/beer/profile/345/66281/,Headwaters Pale Ale,American Pale Ale (APA),americanpalealeapa,Victory Brewing Company - Downingtown,4.9,4.1,good,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
63,6,https://www.beeradvocate.com/beer/profile/287/1117/,Bell's Kalamazoo Stout,American Stout,americanstout,"Bell's Brewery, Inc.",2.8,4.09,good,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
60,5,https://www.beeradvocate.com/beer/profile/1498/25625/,Kronenbourg 1664 Blanc,Witbier,witbier,Brasseries Kronenbourg,13.3,4.08,good,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
94,5.8,https://www.beeradvocate.com/beer/profile/287/1094/,Bell's Oberon Ale,American Pale Wheat Ale,americanpalewheatale,"Bell's Brewery, Inc.",6,4.05,good,pale,2,1,1,1,2,0,wheat,0,0,0,2,americanpalewheatale,American Pale Wheat Ale,americanpalewheatale
42,7.2,https://www.beeradvocate.com/beer/profile/29022/186295/,Chickity China The Chinese Chicken,American IPA,americanipa,Evil Genius Beer Company,8,4.04,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
32,6.9,https://www.beeradvocate.com/beer/profile/3/134574/,Wrought Iron IPA,American IPA,americanipa,Abita Brewing Co.,4.1,4.02,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
36,6.5,https://www.beeradvocate.com/beer/profile/140/262103/,Beer Camp: Golden IPA (2017),American IPA,americanipa,Sierra Nevada Brewing Co.,3.6,4.01,good,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
62,7.5,https://www.beeradvocate.com/beer/profile/345/303464/,Blackboard Series #7 - Black Forest Cake Stout with Cherry,American Stout,americanstout,Victory Brewing Company - Downingtown,8.7,4.01,good,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
25,6,https://www.beeradvocate.com/beer/profile/418/3434/,Left Hand Milk Stout,Milk / Sweet Stout,milksweetstout,Left Hand Brewing Company,0,3.99,bad,black,2,0,2,0,3,2,0,0,0,0,0,milksweetstout,Milk / Sweet Stout,milksweetstout
70,5.5,https://www.beeradvocate.com/beer/profile/192/260041/,Voodoo Ranger 8 Hop Pale Ale,American Pale Ale (APA),americanpalealeapa,New Belgium Brewing,4.2,3.99,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
88,5.5,https://www.beeradvocate.com/beer/profile/25890/74086/,Honey Porter,English Porter,englishporter,Cape May Brewing Company,2,3.99,bad,dark ,1,2,0,0,2,1,0,0,0,0,2,englishporter,English Porter,englishporter
39,6,https://www.beeradvocate.com/beer/profile/394/116820/,Fourplay IPA,American IPA,americanipa,Stoudts Brewing Co.,10.2,3.98,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
49,7.5,https://www.beeradvocate.com/beer/profile/18724/64897/,Overbite IPA,American IPA,americanipa,Old Forge Brewing Company,5.3,3.96,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
71,5,https://www.beeradvocate.com/beer/profile/63/195/,Mirror Pond Pale Ale,American Pale Ale (APA),americanpalealeapa,Deschutes Brewery,1.5,3.96,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
40,7,https://www.beeradvocate.com/beer/profile/764/20168/,Hoptical Illusion,American IPA,americanipa,Blue Point Brewing Company,6.5,3.94,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
81,5.8,https://www.beeradvocate.com/beer/profile/19897/49500/,Lucky 7 Porter,American Porter,americanporter,Evolution Craft Brewing Company,7.4,3.94,bad,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
87,4,https://www.beeradvocate.com/beer/profile/240/703/,Murphy's Irish Stout,Irish Dry Stout,irishdrystout,Murphy Brewery Ireland Limited,5.1,3.94,bad,black,2,1,2,0,1,0,roasted,0,0,0,2,irishdrystout,Irish Dry Stout,irishdrystout
83,6.5,https://www.beeradvocate.com/beer/profile/28208/90054/,Steelmantown Porter,American Porter,americanporter,Tuckahoe Brewing Company,7.7,3.93,bad,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
29,8,https://www.beeradvocate.com/beer/profile/1636/288817/,Hop Regime India Pale Ale,American IPA,americanipa,Fegley's Bethlehem Brew Works,3.4,3.92,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
78,5.3,https://www.beeradvocate.com/beer/profile/392/215122/,Line Street Pilsner,Czech Pilsener,czechpilsener,Weyerbacher Brewing Co.,4.5,3.92,bad,gold,2,3,2,0,2,0,0,0,floral,0,2,czechpilsener,Czech Pilsener,czechpilsener
91,5.3,https://www.beeradvocate.com/beer/profile/345/1010/,Prima Pils,German Pilsener,germanpilsener,Victory Brewing Company - Downingtown,2.5,3.92,bad,pale,2,2,0,0,2,0,0,0,floral,0,2,germanpilsener,German Pilsener,germanpilsener
18,4.5,https://www.beeradvocate.com/beer/profile/392/241650/,Mellow Monks,Belgian Pale Ale,belgianpaleale,Weyerbacher Brewing Co.,4.8,3.91,bad,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
47,6.7,https://www.beeradvocate.com/beer/profile/96/9873/,Hi.P.A.,American IPA,americanipa,Magic Hat Brewing Company,5.5,3.86,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
66,5.6,https://www.beeradvocate.com/beer/profile/392/253356/,Easton Brown & Down,American Brown Ale,americanbrownale,Weyerbacher Brewing Co.,3.2,3.86,bad,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
27,6.5,https://www.beeradvocate.com/beer/profile/12516/79327/,Citra Dog,American IPA,americanipa,Thirsty Dog Brewing Company,1.1,3.83,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
12,7,https://www.beeradvocate.com/beer/profile/16096/59610/,Space Monkey,Saison / Farmhouse Ale,saisonfarmhouseale,Allentown Brew Works,11.4,3.81,bad,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
14,6.5,https://www.beeradvocate.com/beer/profile/450/1510/,Yards Saison,Saison / Farmhouse Ale,saisonfarmhouseale,Yards Brewing Co.,7.1,3.79,bad,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
33,7.2,https://www.beeradvocate.com/beer/profile/13884/49215/,Peak Organic IPA,American IPA,americanipa,Peak Organic Brewing Company,2.2,3.79,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
35,6.3,https://www.beeradvocate.com/beer/profile/700/2018/,The Immortal IPA,American IPA,americanipa,Elysian Brewing Company,1.6,3.78,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
8,8.5,https://www.beeradvocate.com/beer/profile/192/90410/,Rampant Imperial IPA,American Double / Imperial IPA,americandoubleimperialipa,New Belgium Brewing,2.1,3.71,bad,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
7,10,https://www.beeradvocate.com/beer/profile/21872/75121/,Felony IPA,American Double / Imperial IPA,americandoubleimperialipa,Prism Brewing Company,5.7,3.7,bad,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
57,5.2,https://www.beeradvocate.com/beer/profile/192/275731/,Fat Tire Belgian White,Witbier,witbier,New Belgium Brewing,2.1,3.69,bad,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
73,?,https://www.beeradvocate.com/beer/profile/28208/84781/,DC Pale Ale,American Pale Ale (APA),americanpalealeapa,Tuckahoe Brewing Company,7.3,3.69,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
56,7,https://www.beeradvocate.com/beer/profile/339/78192/,Red Fish India Red Ale,American Amber / Red Ale,americanamberredale,Flying Fish Brewing Company,0,3.67,bad,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
23,6,https://www.beeradvocate.com/beer/profile/7944/14422/,Bad Elf Winter's Ale,English India Pale Ale (IPA),englishindiapalealeipa,Ridgeway Brewing,2.8,3.62,bad,gold,2,2,2,0,2,0,0,0,0,0,0,englishindiapalealeipa,English India Pale Ale (IPA),englishindiapalealeipa
77,8.1,https://www.beeradvocate.com/beer/profile/877/60166/,Hipp-O-Lantern Imperial Pumpkin Ale,Pumpkin Ale,pumpkinale,River Horse Brewing Co.,4,3.61,bad,amber,2,0,2,0,2,0,pumpkin,0,0,0,0,pumpkinale,Pumpkin Ale,pumpkinale
11,6.1,https://www.beeradvocate.com/beer/profile/4/108002/,Allagash Saison Ale,Saison / Farmhouse Ale,saisonfarmhouseale,Allagash Brewing Company,6.5,3.6,bad,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
55,5.2,https://www.beeradvocate.com/beer/profile/96/97391/,Deveiled,American Amber / Red Ale,americanamberredale,Magic Hat Brewing Company,10.1,3.59,bad,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
44,6,https://www.beeradvocate.com/beer/profile/29196/88668/,Hopfive IPA,American IPA,americanipa,Susquehanna Brewing Company,7.6,3.54,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
46,7.1,https://www.beeradvocate.com/beer/profile/68/205/,Snake Dog IPA,American IPA,americanipa,Flying Dog Brewery,1.4,3.52,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
58,5.2,https://www.beeradvocate.com/beer/profile/2447/57631/,Orange Avenue Wit,Witbier,witbier,Coronado Brewing Company,0.3,3.52,bad,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
93,5.1,https://www.beeradvocate.com/beer/profile/13667/40524/,The Love Wheat Beer,Hefeweizen,hefeweizen,Starr Hill Brewery,1.1,3.5,bad,gold,2,1,0,2,2,0,0,1,0,0,1,hefeweizen,Hefeweizen,hefeweizen
34,7.3,https://www.beeradvocate.com/beer/profile/28091/93807/,Techno IPA,American IPA,americanipa,Free Will Brewing Co.,7.7,3.49,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
76,6,https://www.beeradvocate.com/beer/profile/193/98072/,Fall Hornin',Pumpkin Ale,pumpkinale,Anderson Valley Brewing Company,2.8,3.48,bad,amber,2,0,2,0,2,0,pumpkin,0,0,0,0,pumpkinale,Pumpkin Ale,pumpkinale
72,6.5,https://www.beeradvocate.com/beer/profile/877/3680/,Hop Hazard Unfiltered American Pale Ale,American Pale Ale (APA),americanpalealeapa,River Horse Brewing Co.,1.4,3.46,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
54,4.5,https://www.beeradvocate.com/beer/profile/877/62014/,Special Ale (An American Amber),American Amber / Red Ale,americanamberredale,River Horse Brewing Co.,3.6,3.44,bad,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
41,6.7,https://www.beeradvocate.com/beer/profile/30902/91794/,Stonefly IPA,American IPA,americanipa,Saucony Creek Brewing Company + Gastropub,4.7,3.42,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
22,7.5,https://www.beeradvocate.com/beer/profile/7944/20789/,Very Bad Elf Special Reserve Ale,English Pale Ale,englishpaleale,Ridgeway Brewing,2.3,3.4,bad,gold,2,2,2,2,2,0,0,0,fruit,0,0,englishpaleale,English Pale Ale,englishpaleale
69,4.5,https://www.beeradvocate.com/beer/profile/392/295777/,Dallas Sucks,American Pale Ale (APA),americanpalealeapa,Weyerbacher Brewing Co.,9.7,3.37,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
43,5.5,https://www.beeradvocate.com/beer/profile/392/184625/,IPA #1,American IPA,americanipa,Weyerbacher Brewing Co.,8.9,3.36,bad,amber,2,3,2,0,2,0,herbal,0,0,0,3,americanipa,American IPA,americanipa
24,6.2,https://www.beeradvocate.com/beer/profile/339/21538/,HopFish IPA,English India Pale Ale (IPA),englishindiapalealeipa,Flying Fish Brewing Company,6.2,3.33,bad,gold,2,2,2,0,2,0,0,0,0,0,0,englishindiapalealeipa,English India Pale Ale (IPA),englishindiapalealeipa
67,6.2,https://www.beeradvocate.com/beer/profile/96/141169/,Snow Roller,American Brown Ale,americanbrownale,Magic Hat Brewing Company,4.4,3.29,bad,dark ,2,2,2,0,2,0,0,0,0,0,0,americanbrownale,American Brown Ale,americanbrownale
92,4.2,https://www.beeradvocate.com/beer/profile/13667/79421/,Starr Pils,German Pilsener,germanpilsener,Starr Hill Brewery,0.3,3.28,bad,pale,2,2,0,0,2,0,0,0,floral,0,2,germanpilsener,German Pilsener,germanpilsener
52,5.2,https://www.beeradvocate.com/beer/profile/192/607/,Fat Tire Amber Ale,American Amber / Red Ale,americanamberredale,New Belgium Brewing,9.2,3.27,bad,amber,2,2,2,1,2,0,caramel,0,0,0,0,americanamberredale,American Amber / Red Ale,americanamberredale
74,4.7,https://www.beeradvocate.com/beer/profile/339/1958/,Extra Pale Ale,American Pale Ale (APA),americanpalealeapa,Flying Fish Brewing Company,1.8,3.26,bad,amber,2,2,2,0,2,0,0,0,0,0,0,americanpalealeapa,American Pale Ale (APA),americanpalealeapa
13,4.4,https://www.beeradvocate.com/beer/profile/96/97326/,Séance,Saison / Farmhouse Ale,saisonfarmhouseale,Magic Hat Brewing Company,0.6,3.14,bad,gold,2,0,0,3,2,1,earthy,2,fruit,0,2,saisonfarmhouseale,Saison / Farmhouse Ale,saisonfarmhouseale
65,6,https://www.beeradvocate.com/beer/profile/15280/255119/,Lip Lock Cherry Stout,American Stout,americanstout,Atwater Brewery,7.2,3.08,bad,black,2,1,1,0,2,0,roasted,0,0,0,0,americanstout,American Stout,americanstout
82,6.7,https://www.beeradvocate.com/beer/profile/29022/116670/,Purple Monkey Dishwasher,American Porter,americanporter,Evil Genius Beer Company,18.5,3.08,bad,dark ,2,1,2,0,2,2,burnt,0,0,0,0,americanporter,American Porter,americanporter
59,4.6,https://www.beeradvocate.com/beer/profile/392/1636/,Weyerbacher Wit,Witbier,witbier,Weyerbacher Brewing Co.,14.4,3.04,bad,pale,2,0,0,0,2,0,wheat,0,0,0,0,witbier,Witbier,witbier
79,8.2,https://www.beeradvocate.com/beer/profile/694/4109/,Tröegs Troegenator Double Bock,Doppelbock,doppelbock,Tröegs Brewing Company,30.2,2.75,bad,dark ,3,0,2,0,3,0,chocolate,0,0,0,0,doppelbock,Doppelbock,doppelbock
51,5,https://www.beeradvocate.com/beer/profile/1924/13873/,Bare Ass Blonde Ale,American Blonde Ale,americanblondeale,DuClaw Brewing Company,24.2,2.57,bad,gold,2,1,1,1,1,0,0,0,fruit,0,1,americanblondeale,American Blonde Ale,americanblondeale
17,5.95,https://www.beeradvocate.com/beer/profile/396/15966/,AleSmith Lil' Devil,Belgian Pale Ale,belgianpaleale,AleSmith Brewing Company,38,2.33,bad,pale,2,2,1,0,2,1,toasted,0,0,0,1,belgianpaleale,Belgian Pale Ale,belgianpaleale
6,9.4,https://www.beeradvocate.com/beer/profile/29161/101537/,Bonnie & Clyde Double India Pale Ale,American Double / Imperial IPA,americandoubleimperialipa,Tall Tales Brewing Company,20.3,2.32,bad,amber,3,3,3,0,2,0,0,0,0,0,3,americandoubleimperialipa,American Double / Imperial IPA,americandoubleimperialipa
20,5.9,https://www.beeradvocate.com/beer/profile/105/1484/,Milwaukee's Best Ice,American Adjunct Lager,americanadjunctlager,Miller Brewing Co.,4.8,1.97,bad,pale,1,0,0,0,1,0,0,0,0,0,0,americanadjunctlager,American Adjunct Lager,americanadjunctlager
21,5,https://www.beeradvocate.com/beer/profile/29/65/,Budweiser,American Adjunct Lager,americanadjunctlager,Anheuser-Busch,29.7,1.66,bad,pale,1,0,0,0,1,0,0,0,0,0,0,americanadjunctlager,American Adjunct Lager,americanadjunctlager
