Style,Description,Descriptive Words,Color,Flavor,Hoppiness,Maltiness,Fruitiness,Body,Sweetness,Custom Flavor,Sour,Aroma,spicy,bitter,Examples,Pairing,Store Temp
Weizenbock,"Weizenbocks are wheat bocks and can take on fruity, malty flavors. ABV:7.0-9.5% IBU:15-35","fruity flavor, matly ",gold,2,0,2,3,2,0,0,0,0,2,0,"Victory Brewing Company's Moonglow, Southern Tier Brewing Company's Goat Boy","German cuisine, meat and poultry, chocolate",40-45 F
Maibock / Helles Bock,"Maibocks are more pale and hoppy than traditional bocks, although the malt flavor is still present. ABV: 6.0-8.0% IBV: 20-38","light color, matly",gold,2,2,0,0,2,0,0,0,0,0,0,"Capital Maibock, Hofbräu Maibock, Smuttynose Maibock","Italian and German cuisines, fish and shellfish, asiago and swiss cheese",45-50 F
American Brown Ale,American brown ale is a dark beer without the bitterness of porters and stouts. This style boasts a dark caramel color and a medium to full-bodied profile. ABV: 4.2-6.3% IBU: 25-45,dark color,dark ,2,2,2,0,2,0,0,0,0,0,0,"Brooklyn Brown Ale, Sierra Nevada Tumbler Autumn Brown","American cuisine, heavy foods like beef stew, red meat",45-50 F
English Brown Ale,,"nuty, malt, caramel flavor",dark ,2,1,2,0,3,2,0,0,0,0,0,,,
American Amber / Red Ale,"American amber ale is a malty, medium-bodied beer with a caramel flavor and amber color. ABV: 4.4-6.1% IBU: 25-45","malty, medium-bodied, caramel flavor, medium color",amber,2,2,2,1,2,0,caramel,0,0,0,0,"Lagunitas Imperial Red Ale, Stone Brewing Company's Levitation Ale","American cuisine, meat, fish, bleu cheese",40-45 F
American Pale Ale (APA),American pale ale is a medium-bodied beer with a noticable hop flavor and a light copper color. ABV: 4.4-5.4% IBU: 30-50,"medium-bodied, hoppy, light medium color",amber,2,2,2,0,2,0,0,0,0,0,0,"Sierra Nevada Brewing Company's Pale Ale, Smuttynose Shoals Pale Ale","Fish and seafood, poultry, cheddar cheese",40-45 F
American Blonde Ale,"Blonde ales balance the flavors of malt and hops nicely, and they often have a fruity aroma. ABV: 4.1-5.1% IBU: 15-25","balanced, fruity aroma",gold,2,1,1,1,1,0,0,0,fruit,0,1,"Victory Brewing Company's Summer Love, Flying Fish Brewing Company's Farmhouse Summer Ale","Italian cuisine, spicy food, fish, pepper jack cheese",35-40 F
English Bitter,English bitters are named for the bitter flavor that the hops present. They have fruity flavors and lower alcohol content. ABV: 3.0-4.2% IBU: 20-35,"bitter flavor, fruity flavor, ",gold,2,2,0,2,1,0,0,0,fruit,0,2,"Sharp's Brewery's Doom Bar Bitter, Surly Brewing Company's Bitter Brewer","Fried food, fish, feta cheese",45-50 F
English Pale Ale,"Also known as ""extra special bitters,"" English pale ales have a strong hop flavor that is balanced by sweet malt. ABV: 4.5-5.5% IBU: 20-40","balanced, hoppy",gold,2,2,2,2,2,0,0,0,fruit,0,0,"Black Sheep Ale, Flying Fish Extra Pale Ale","American and English cuisines, meat, and English cheeses",40-45 F
American IPA,"American IPAs have more hops, big herbal or citrus flavors, and high bitterness compared to pale ale. ABV: 6.3-7.5% IBU: 50-70","hoppy, herbal flavor, citrus flavor, bitter",amber,2,3,2,0,2,0,herbal,0,0,0,3,"Dogfish Head 60 Minute IPA, Lagunitas IPA, Sierra Nevada Brewing Company's Torpedo Extra IPA","American and Indian cuisines, meat, poultry, fish, and gorgonzola cheese",40-45 F
American Double / Imperial IPA,"Imperial or Double IPAs are American IPAs, but with a stronger flavor, hop bitterness, and a higher alcohol content. ABV: 7.0-14.0% IBU: 65-100","strong, bitter",amber,3,3,3,0,2,0,0,0,0,0,3,"Dogfish Head 120 Minute IPA, Russian River Brewing Company's Pliny the Elder, Lagunitas Brewing Company's Maximus","American cuisine, meat, fish, and sharp cheddar",45-50 F
English India Pale Ale (IPA),"English IPAs are similar to the American style, but with a weaker hop flavor and lower alcohol content. ABV: 5.0-7.0% IBU: 35-63",light hoppy,gold,2,2,2,0,2,0,0,0,0,0,0,"Goose Island India Pale Ale, Shipyard IPA, Samuel Smith’s India Ale","American and Indian cuisines, fish, and parmesan cheese",40-45 F
American Porter,"American imperial porters are dark in color, but lacking in burnt malt taste. They also boast a malty sweetness that goes well with chocolate and coffee. ABV: 7.0-12.0% IBU: 35-50","dark color, malty, sweet flavor",dark ,2,1,2,0,2,2,burnt,0,0,0,0,"Sierra Nevada Brewing Company's Porter, Stone Smoked Porter","American cuisine, barbecue, meat, and asiago cheese",40-45 F
English Porter,"English brown porter is a dark beer that's similar to the American style, but usually with a lower alcohol content and less malt sweetness. ABV: 4.5-6.0% IBU: 20-30","dark color, light sweet flavor",dark ,1,2,0,0,2,1,0,0,0,0,2,"Shipyard Longfellow Winter Ale, Arcadia Brewing Company's Arcadia London Porter","American and English cuisines, meat, chocolate, and fontina cheese",50-55 F
Baltic Porter,Robust porters are stronger and more bitter than a brown porter with a rich dark color and a subtle caramel flavor. ABV: 5.1-6.6% IBU: 25-40,"strong, bitter, dark color, caramel flavor",dark ,3,0,0,0,2,0,caramel,0,0,0,2,"Smuttynose Robust Porter, Thomas Hooker Imperial Porter","American and English cuisines, heavy foods like stew and beef, and colby cheese",40-45 F
American Stout,"American stouts are dark beers that feature malt flavors working to create strong chocolate and coffee notes, but without overpowering hop bitterness. ABV: 5.7-8.9% IBU: 35-60","dark color, chocolate flavor, coffee flavor, light hoppy",black,2,1,1,0,2,0,roasted,0,0,0,0,"Highland Black Mocha Stout, Bell's Kalamazoo Stout, Dogfish Head Brewery's Chicory Stout","Heavy foods, meat, oysters, chocolate, and brie cheese",45-50 F
American Double / Imperial Stout,American imperial stouts are strong dark beers with a malty flavor and a deep black color. ABV: 7.0-12.0% IBU: 50-80,"dark color, strong, malty",black,2,2,2,0,3,2,roasted,0,0,0,0,"Dogfish Head Brewery's Worldwide Stout, Stoudts Fat Dog Imperial Stout, Bell's Java Stout","Heavy foods, poultry, aged cheddar",45-50 F
Oatmeal Stout,"As their name suggests, oatmeal stouts feature oatmeal in their malt blend. This adds smoothness and sweetness to the beer. ABV: 3.8-6.0% IBU: 20-40","smooth, sweet flavor",black,2,2,1,0,2,1,roasted,0,0,0,0,"Young's Oatmeal Stout, Rogue Ales' Shakespeare Oatmeal Stout, Tröegs Java Head Stout","Meat, shellfish, chocolate, camembert cheese",50-55 F
Milk / Sweet Stout,Lactose sugar adds a sweet caramel or chocolate flavor to milk stouts. ABV: 4.0-7.0% IBU: 15-25,"caramel flavor, chocolate flavor",black,2,0,2,0,3,2,0,0,0,0,0,"Young's Double Chocolate Stout, Lancaster Brewing Company's Milk Stout, Samuel Adams Cream Stout","Mexican cuisine, beef, chocolate, ice cream, and cheddar or goat cheese",50-55 F
Irish Dry Stout,Irish dry stouts are dark beers; black in color with a bitterness that comes from roasted barley. ABV: 3.8-5.0% IBU: 30-40,"dark color, bitter",black,2,1,2,0,1,0,roasted,0,0,0,2,"Guinness Draught, Murphy's Irish Stout, Beamish Irish Stout","Heavy food like beef and stew, barbecue, burgers",45-50 F
Belgian Pale Ale,Belgian pale ale contains a toasted malt flavor that is subtle enough to not overpower the taste of the hops. ABV: 4.0-6.0% IBU: 20-30,"toasted malt, hoppy",pale,2,2,1,0,2,1,toasted,0,0,0,1,"Leffe Blonde, Weyerbacher Brewing Company's Verboten, Samuel Adams Belgian Session","American cuisine, fried food, fish, salad, and tangy cheeses",45-50 F
Dubbel,"Belgian dubbels feature rich and malty flavor with a spicy, fruity note. ABV: 6.3-7.6% IBU: 20-35","rich, malty, spicy flavor, fruity",gold,3,0,2,2,2,1,caramel,0,fruit,2,1,"Chimay Premiere, Blue Moon Winter Abbey Ale, Flying Fish Abbey Dubbel","American cuisine, barbecue, meat, and Limburger cheese",50-55 F
Tripel,Belgian trippels are lighter-bodied beers with a slight hoppy bitterness and a high alcohol content. ABV: 7.1-10.1% IBU: 20-45,"light-bodied, light hoppy, bitter",gold,2,1,3,1,1,2,0,0,0,0,2,"Victory Brewing Company's Golden Monkey, Weyerbacher Brewing Company's Merry Monks","Pasta dishes, meat, poultry, gouda cheese",45-50 F
Quadrupel (Quad),"Belgian quadrupels are dark brown, full-bodied beers that exhibit flavors like brown sugar and fruit. They also have a very high alcohol content. ABV: 7.2-11.2% IBU: 25-50","dark color, full-bodied, brown sugar, fruity",amber,3,0,3,2,3,2,brown sugar,0,0,0,1,"Weyerbacher Brewing Company's QUAD, Brewery Ommegang Three Philosophers","Smoked meat, goose, brie cheese",50-55 F
Belgian Strong Dark Ale,Belgian strong dark ale features a very high alcohol content with complex fruity flavors. ABV: 7.0-15.0% IBU: 20-50,"strong, dark color, fruity",dark ,3,1,2,2,2,0,0,0,0,2,0,"Tröegs Mad Elf, Bell's Brewery's Hell Hath No Fury Ale, Dogfish Head Brewery's Raison D'Être","American cuisine, barbecue, blue cheese",45-50 F
Saison / Farmhouse Ale,Saisons (also known as farmhouse ales) have earthy notes and a medium hop flavor. ABV: 4.4-6.8% IBU: 20-38,"earthy, medium hoppy",gold,2,0,0,3,2,1,earthy,2,fruit,0,2,"Samuel Adams Rustic Saison, Dogfish Head Brewery's Noble Rot, Victory Brewing Company's Helios","Indian and Asian cuisine, poultry, seafood, and parmesan cheese",45-50 F
American Pale Wheat Ale,"American pale wheat beer is pale in color, lower in alcohol content, and with a light bready flavor. ABV: 3.5-5.6% IBU: 10-35","light color, bready",pale,2,1,1,1,2,0,wheat,0,0,0,2,"Blue Moon Summer Honey Wheat, Samuel Adams Coastal Wheat, Shipyard Summer Ale","Mexican cuisine, spicy food, poultry, and mozzarella cheese",45-50 F
Witbier,"Witbier gets its name from its white color, and has a light, fruity flavor to match. ABV: 4.8-5.6% IBU: 10-17","light color, fruity",pale,2,0,0,0,2,0,wheat,0,0,0,0,"Hoegaarden White Ale, Dogfish Head Brewery's Namaste, Blue Moon Belgian White, Victory Brewing Company's Whirlwind Witbier","Seafood, poultry, pork, salad, and soft cheeses",45-50 F
Berliner Weissbier,"Berliner Weisse is tart, sour beer with a pale color. Sometimes raspberry syrup is added to dull the sour taste. ABV: 2.8-3.4% IBU: 3-6","sour, tart",gold,2,0,0,2,2,0,wheat,2,0,0,0,"Dogfish Head's Festina Peche, Freetail Brewing Company's Yo Soy Un Berliner, Iron Hill Brewery's Berliner Weisse","German Cuisine, ham, salad, and soft cheeses",45-50 F
Dunkelweizen,Dunkelweizen is a darker version of a Hefeweizen. These beers have a malty flavor with hints of banana. ABV: 4.8-5.4% IBU: 10-15,"dark color, malty, banana",amber,2,0,2,2,2,1,banana,0,0,0,1,"Samuel Adams Dunkelweizen, Franziskaner Hefe-Weisse Dunkel","German and Indian cuisines, fish, and goat cheese",40-45 F
Hefeweizen,Hefeweizen is a light colored wheat beer with a crisp taste that can sometimes have hints of cloves or apples. ABV: 4.9-5.6% IBU: 10-15,"light color, crisp",gold,2,1,0,2,2,0,0,1,0,0,1,"Sierra Nevada Kellerweis Hefeweizen, Pennsylvania Brewing Company's Penn Weizen","German cuisine, seafood, fish, and brick cheeses",45-50 F
American Wild Ale,American sour beer packs a wild punch from certain bacteria that are introduced during the fermentation process. ABV: Varies IBU: Varies,sour,gold,3,0,0,0,2,0,0,3,0,0,0,"Samuel Adams American Kriek, Weyerbacher Brewing Company's Riserva, Jolly Pumpkin Artisan Ales' La Roja",Fruit and strong cheese,45-50 F
Lambic - Fruit,Belgian fruit lambics are brewed with fruit to make an intense sweet and sour flavor. ABV: 5.0-8.9% IBU: 15-21,"sweet, sour",amber,2,1,1,3,2,2,0,2,0,0,0,"Upland Brewing Company's Raspberry Lambic, Dogfish Head Brewery's Festina Lente","Fruit, salad, chocolate, and soft cheese",45-50 F
Flanders Red Ale,"Flanders red ale evokes a malty, fruity flavor underneath a strong sour taste brought on by Lactobacillus bacteria during fermentation. ABV: 4.8-6.6% IBU: 5-18","matly, fruity, sour",amber,2,0,2,2,1,0,0,3,0,0,0,"New Belgium Lips of Faith La Folie, The Lost Abbey's Red Poppy Ale","Meat, blue cheese, and cheddar cheese",45-50 F
Gueuze,Gueuzes are aged beers that give off a very strong sour flavor. ABV: 6.2-8.1% IBU: 9-23,sour,gold,2,0,0,3,2,0,0,3,0,0,0,"Brouwerij Boon's Boon Gueuze, The Bruery's Rueuze",Strong cheeses,50-55 F
Pumpkin Ale,"Pumpkin beer is brewed with fresh pumpkin and common fall spices. These beers are increasingly popular, and can be made with lagers, ales, and sour beers. ABV: 2.3-5.0% IBU: 5-70",pumpkin,amber,2,0,2,0,2,0,pumpkin,0,0,0,0,"Elysian Brewing Company’s Night Owl Pumpkin Ale, Weyerbacher Brewing Company’s Imperial Pumpkin Ale, Samuel Adams Harvest Pumpkin Ale, Smuttynose Pumpkin Ale","Poultry, soft creamy cheeses",50-55 F
Rye Beer,"Rye beer often features malty, roasted flavors, with lower hop bitterness. Rye beers can be made as ales or as lagers, and will either take on a sweet or spicy flavor. ABV: Varies IBU: Varies","malty, light hops, sweet, spicy",amber,2,1,2,0,2,2,0,1,0,2,2,"Founders Red’s Rye IPA, Great Lakes’ Rye of the Tiger IPA, The Bruery’s Sour in the Rye","Spicy meat, creamy cheese",45-55 F
Smoked Beer,"Smoke beer is any beer that is brewed with malt that has been kilned over an open fire. The smoke adds a noticeable, but not overpowering flavor, which is inspired by traditional German rauchbier. ABV: Varies IBU: Varies",smoky,dark ,3,0,2,0,2,0,smoke,0,0,0,0,"Ithaca Beer Company's Gorges Smoked Porter, Goose Island Beer Company’s Prairie Smoke, Denver Beer Company’s Smoked Lager","Roasted vegetables, hard cheese",50-55 F
