ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Ranking,RatingCount,ReviewCount,Score,ScoreClass,pDev
4.70%,Year-round,Margaritaville Brewing Co.,,https://cdn.beeradvocate.com/im/beers/34804.jpg,"Florida, United States","#45,252","1,887",494,2.62,Poor,26.34%
5.00%,Year-round,Molson Coors Canada,,https://cdn.beeradvocate.com/im/beers/1312.jpg,"Ontario, Canada","#45,137","1,794",530,2.82,Poor,23.76%
4.80%,Year-round,"Tsingtao Brewery Co., Ltd.",,https://cdn.beeradvocate.com/im/beers/767.jpg,China,"#45,171","1,760",603,2.77,Poor,23.47%
4.30%,Year-round,Anheuser-Busch,,https://cdn.beeradvocate.com/im/beers/670.jpg,"Missouri, United States","#45,342","1,725",465,2.01,Poor,36.32%
5.90%,Year-round,Anheuser-Busch,,https://cdn.beeradvocate.com/im/beers/653.jpg,"Missouri, United States","#45,353","1,433",353,1.77,Awful,43.5%
4.50%,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,https://cdn.beeradvocate.com/im/beers/2803.jpg,Mexico,"#45,296","1,426",401,2.46,Poor,27.24%
5.00%,Year-round,Moosehead Breweries Ltd.,,https://cdn.beeradvocate.com/im/beers/1053.jpg,"New Brunswick, Canada","#44,898","1,405",508,3.04,Okay,22.04%
5.00%,Year-round,Narragansett Brewing Co.,,https://cdn.beeradvocate.com/im/beers/7406.jpg,"Rhode Island, United States","#43,723","1,301",405,3.36,Okay,16.67%
5.50%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1299.jpg,"Wisconsin, United States","#45,339","1,256",380,2.04,Poor,35.29%
5.50%,Year-round,Anheuser-Busch,,https://cdn.beeradvocate.com/im/beers/1642.jpg,"Missouri, United States","#45,348","1,148",285,1.86,Awful,38.17%
5.00%,Year-round,Asia Pacific Breweries Limited,,https://cdn.beeradvocate.com/im/beers/2176.jpg,Singapore,"#45,213","1,058",395,2.69,Poor,22.3%
4.60%,Year-round,Hamm's Brewing Co.,,https://cdn.beeradvocate.com/im/beers/870.jpg,"Wisconsin, United States","#45,175",883,321,2.74,Poor,28.83%
4.60%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/1332.jpg,"California, United States","#45,306",821,264,2.33,Poor,33.48%
4.65%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/1719.jpg,"California, United States","#45,277",804,229,2.5,Poor,28%
4.80%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1286.jpg,"Wisconsin, United States","#45,347",780,257,1.86,Awful,38.71%
5.00%,Year-round,Cervecería Nacional Dominicana,,https://cdn.beeradvocate.com/im/beers/2910.jpg,Dominican Republic,"#45,183",775,263,2.72,Poor,24.26%
5.00%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1207.jpg,"Wisconsin, United States","#45,338",764,190,2.01,Poor,38.31%
5.90%,Year-round,Coors Brewing Company (Molson-Coors),,https://cdn.beeradvocate.com/im/beers/2947.jpg,"Colorado, United States","#45,357",728,160,1.7,Awful,38.24%
4.64%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/1727.jpg,"California, United States","#45,118",716,212,2.81,Poor,26.33%
5.90%,Year-round,Miller Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1484.jpg,"Wisconsin, United States","#45,332",680,214,2.07,Poor,40.58%
4.50%,Year-round,Genesee Brewing Co. / Dundee Brewing Co.,,https://cdn.beeradvocate.com/im/beers/865.jpg,"New York, United States","#45,223",612,234,2.65,Poor,27.55%
4.60%,Year-round,Jacob Leinenkugel Brewing Company,,https://cdn.beeradvocate.com/im/beers/3333.jpg,"Wisconsin, United States","#44,997",592,177,2.94,Poor,19.39%
4.60%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/1330.jpg,"California, United States","#45,259",588,193,2.55,Poor,27.84%
4.60%,Year-round,August Schell Brewing Company,,https://cdn.beeradvocate.com/im/beers/10364.jpg,"Minnesota, United States","#44,272",572,203,3.25,Okay,19.38%
4.60%,Year-round,Cerveceria Costa Rica,,https://cdn.beeradvocate.com/im/beers/3940.jpg,Costa Rica,"#45,151",552,198,2.76,Poor,21.38%
4.28%,Year-round,Pabst Brewing Company,,https://cdn.beeradvocate.com/im/beers/7363.jpg,"California, United States","#45,077",552,164,2.85,Poor,24.56%
4.50%,Year-round,Pittsburgh Brewing Co.,,https://cdn.beeradvocate.com/im/beers/2680.jpg,"Pennsylvania, United States","#45,269",543,272,2.51,Poor,27.49%
4.50%,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,https://cdn.beeradvocate.com/im/beers/1284.jpg,Mexico,"#45,204",527,207,2.66,Poor,23.68%
4.70%,Year-round,JOS. Schlitz Brewing Co. (Pabst),,https://cdn.beeradvocate.com/im/beers/44315.jpg,"Illinois, United States","#40,520",513,272,3.54,Good,17.8%
5.60%,Year-round,Molson Coors Canada,,https://cdn.beeradvocate.com/im/beers/1359.jpg,"Ontario, Canada","#45,270",497,178,2.5,Poor,26.8%
4.90%,Year-round,Cervecería y Maltería Quilmes / Grupo Bemberg,,https://cdn.beeradvocate.com/im/beers/3637.jpg,Argentina,"#45,196",484,238,2.67,Poor,23.22%
4.50%,Year-round,"Lion Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/5412.jpg,"Pennsylvania, United States","#45,023",480,164,2.9,Poor,20.34%
4.50%,Year-round,United Breweries - UB Group,,https://cdn.beeradvocate.com/im/beers/2970.jpg,India,"#45,225",474,215,2.62,Poor,24.43%
5.20%,Year-round,Carib Brewery Limited,,https://cdn.beeradvocate.com/im/beers/750.jpg,Trinidad & Tobago,"#45,104",443,172,2.8,Poor,24.29%
5.00%,Year-round,San Miguel Brewery Inc.,,https://cdn.beeradvocate.com/im/beers/922.jpg,Philippines,"#45,134",414,175,2.76,Poor,21.74%
4.60%,Year-round,Dixie Brewing Co.,,https://cdn.beeradvocate.com/im/beers/1185.jpg,"Louisiana, United States","#45,096",384,176,2.8,Poor,23.57%
5.10%,Year-round,Bayerische Staatsbrauerei Weihenstephan,,https://cdn.beeradvocate.com/im/beers/712.jpg,Germany,"#2,247","2,352",914,4.09,Exceptional,11.98%
5.10%,Year-round,Hofbräuhaus München,,https://cdn.beeradvocate.com/im/beers/3062.jpg,Germany,"#15,714","1,601",503,3.8,Very Good,13.16%
5.20%,Year-round,Spaten-Franziskaner-Bräu,,https://cdn.beeradvocate.com/im/beers/1944.jpg,Germany,"#30,912","1,452",612,3.69,Good,14.09%
5.00%,Year-round,Surly Brewing Company,,https://cdn.beeradvocate.com/im/beers/44531.jpg,"Minnesota, United States","#13,606","1,165",334,3.82,Very Good,10.99%
4.90%,Year-round,Paulaner Brauerei GmbH & Co. KG,,https://cdn.beeradvocate.com/im/beers/388.jpg,Germany,"#25,506","1,046",463,3.73,Good,12.06%
4.80%,Year-round,Victory Brewing Company - Downingtown,,https://cdn.beeradvocate.com/im/beers/1002.jpg,"Pennsylvania, United States","#39,289",897,370,3.58,Good,13.41%
5.20%,Year-round,Löwenbräu AG,,https://cdn.beeradvocate.com/im/beers/280.jpg,Germany,"#44,182",863,396,3.28,Okay,17.07%
5.00%,Rotating,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/73559.jpg,"Florida, United States","#38,830",809,114,3.59,Good,12.53%
4.30%,Year-round,Brauerei Heller-Trum / Schlenkerla,,https://cdn.beeradvocate.com/im/beers/29145.jpg,Germany,"#5,462",708,391,3.95,Very Good,11.9%
5.20%,Summer,3 Floyds Brewing Co.,,https://cdn.beeradvocate.com/im/beers/22981.jpg,"Indiana, United States","#32,952",650,195,3.67,Good,13.08%
5.10%,Year-round,Maui Brewing Co.,,https://cdn.beeradvocate.com/im/beers/43605.jpg,"Hawaii, United States","#37,723",577,188,3.61,Good,12.47%
5.50%,Year-round,Hacker-Pschorr Bräu GmbH,,https://cdn.beeradvocate.com/im/beers/31425.jpg,Germany,"#28,360",576,247,3.71,Good,12.13%
4.50%,Rotating,Ballast Point Brewing Company,,https://cdn.beeradvocate.com/im/beers/38861.jpg,"California, United States","#37,718",570,117,3.61,Good,12.74%
5.60%,Year-round,Augustiner-Bräu Wagner KG,,https://cdn.beeradvocate.com/im/beers/4139.jpg,Germany,"#7,712",552,253,3.9,Very Good,13.08%
5.00%,Year-round,Stoudts Brewing Co.,,https://cdn.beeradvocate.com/im/beers/2106.jpg,"Pennsylvania, United States","#7,252",541,259,3.91,Very Good,13.81%
4.20%,Year-round,New Glarus Brewing Company,,https://cdn.beeradvocate.com/im/beers/28268.jpg,"Wisconsin, United States","#8,970",516,197,3.88,Very Good,11.34%
5.20%,Year-round,Augustiner-Bräu Wagner KG,,https://cdn.beeradvocate.com/im/beers/2560.jpg,Germany,"#1,642",421,133,4.17,Exceptional,12.71%
4.90%,Year-round,Stieglbrauerei zu Salzburg GmbH,,https://cdn.beeradvocate.com/im/beers/3319.jpg,Austria,"#41,415",421,179,3.5,Good,15.14%
4.50%,Summer,The Schlafly Tap Room,,https://cdn.beeradvocate.com/im/beers/49145.jpg,"Missouri, United States","#40,921",383,107,3.52,Good,13.07%
5.40%,Spring,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/260797.jpg,"Massachusetts, United States","#36,204",383,122,3.63,Good,11.02%
5.20%,Year-round,Jack's Abby Brewing,,https://cdn.beeradvocate.com/im/beers/153110.jpg,"Massachusetts, United States","#8,014",377,99,3.9,Very Good,9.49%
4.90%,Rotating,Sly Fox Brewing Company,,https://cdn.beeradvocate.com/im/beers/24283.jpg,"Pennsylvania, United States","#33,691",327,74,3.66,Good,13.11%
4.90%,Year-round,von Trapp Brewing,,https://cdn.beeradvocate.com/im/beers/57660.jpg,"Vermont, United States","#10,306",275,74,3.87,Very Good,10.34%
4.80%,Year-round,Klosterbrauerei Andechs,,https://cdn.beeradvocate.com/im/beers/105785.jpg,Germany,"#4,204",253,68,4.02,Exceptional,10.95%
4.00%,Year-round,Pennsylvania Brewing Company,,https://cdn.beeradvocate.com/im/beers/384.jpg,"Pennsylvania, United States","#19,334",243,135,3.78,Very Good,11.38%
4.60%,Spring,Southern Tier Brewing Company,,https://cdn.beeradvocate.com/im/beers/147101.jpg,"New York, United States","#19,565",206,44,3.78,Very Good,9.79%
4.80%,Year-round,Henninger Bräu AG,,https://cdn.beeradvocate.com/im/beers/9298.jpg,Germany,"#44,833",203,138,2.98,Poor,18.46%
5.20%,Summer,Christian Moerlein Brewing Company,,https://cdn.beeradvocate.com/im/beers/43881.jpg,"Ohio, United States","#41,549",188,60,3.47,Okay,14.7%
4.80%,Year-round,Thomas Hooker Brewing Company,,https://cdn.beeradvocate.com/im/beers/12993.jpg,"Connecticut, United States","#7,929",184,119,3.92,Very Good,11.73%
5.00%,Year-round,Rahr & Sons Brewing Company,,https://cdn.beeradvocate.com/im/beers/73681.jpg,"Texas, United States","#42,865",172,18,3.38,Okay,17.16%
5.00%,Summer,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/219880.jpg,"Massachusetts, United States","#33,163",172,40,3.66,Good,10.93%
5.50%,Rotating,Cigar City Brewing,,https://cdn.beeradvocate.com/im/beers/148908.jpg,"Florida, United States","#22,187",163,22,3.76,Very Good,9.57%
4.50%,Year-round,Devils Backbone Brewing Company,,https://cdn.beeradvocate.com/im/beers/46792.jpg,"Virginia, United States","#39,378",158,38,3.55,Good,12.96%
4.80%,Year-round,Rahr & Sons Brewing Company,,https://cdn.beeradvocate.com/im/beers/19956.jpg,"Texas, United States","#43,231",158,75,3.34,Okay,16.17%
4.90%,Year-round,Mahr's Bräu,,https://cdn.beeradvocate.com/im/beers/13016.jpg,Germany,"#5,974",148,75,3.98,Very Good,10.05%
5.40%,Year-round,Fordham Brewing Company,,https://cdn.beeradvocate.com/im/beers/44831.jpg,"Delaware, United States","#40,445",146,56,3.51,Good,11.97%
5.50%,Year-round,Hacker-Pschorr Bräu GmbH,,https://cdn.beeradvocate.com/im/beers/9603.jpg,Germany,"#33,792",140,112,3.65,Good,11.78%
4.90%,Year-round,Hacker-Pschorr Bräu GmbH,,https://cdn.beeradvocate.com/im/beers/869.jpg,Germany,"#16,917",132,54,3.81,Very Good,12.86%
5.80%,Year-round,Klosterbrauerei Andechs,,https://cdn.beeradvocate.com/im/beers/4528.jpg,Germany,"#15,028",131,67,3.83,Very Good,10.44%
5.60%,Year-round,Klosterbrauerei Weltenburg,,https://cdn.beeradvocate.com/im/beers/4786.jpg,Germany,"#9,249",129,74,3.91,Very Good,9.21%
5.00%,Year-round,Okanagan Spring Brewery,,https://cdn.beeradvocate.com/im/beers/9444.jpg,"British Columbia, Canada","#43,354",129,46,3.31,Okay,14.8%
4.70%,Year-round,Der HirschBrau/Privatbrauerei Höss,,https://cdn.beeradvocate.com/im/beers/3183.jpg,Germany,"#35,737",123,95,3.62,Good,13.54%
5.00%,Summer,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/263942.jpg,"Massachusetts, United States","#35,060",121,45,3.63,Good,10.19%
5.30%,Year-round,Ninkasi Brewing Company,,https://cdn.beeradvocate.com/im/beers/72570.jpg,"Oregon, United States","#36,313",121,40,3.61,Good,11.08%
5.70%,Year-round,Augustiner-Bräu Wagner KG,,https://cdn.beeradvocate.com/im/beers/12272.jpg,Germany,"#35,033",118,42,3.63,Good,13.22%
5.40%,Rotating,Church Street Brewing Company,,https://cdn.beeradvocate.com/im/beers/94985.jpg,"Illinois, United States","#34,955",112,20,3.63,Good,13.22%
4.80%,Summer,Matt Brewing Company / Saranac Brewery,,https://cdn.beeradvocate.com/im/beers/48541.jpg,"New York, United States","#39,260",112,78,3.54,Good,12.15%
4.50%,Year-round,Red Oak Brewery,,https://cdn.beeradvocate.com/im/beers/8824.jpg,"North Carolina, United States","#26,885",106,34,3.72,Good,16.4%
5.10%,Rotating,Surly Brewing Company,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Minnesota, United States","#22,708",103,12,3.76,Very Good,14.89%
5.00%,Rotating,Hill Farmstead Brewery,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Vermont, United States","#3,275",100,17,4.14,Exceptional,6.52%
5.30%,Year-round,Victory Brewing Company - Downingtown,,https://cdn.beeradvocate.com/im/beers/1010.jpg,"Pennsylvania, United States","#3,309","5,289","2,119",4.02,Exceptional,11.94%
5.00%,Year-round,Brauerei Beck & Co.,,https://cdn.beeradvocate.com/im/beers/2435.jpg,Germany,"#45,170","2,177",718,2.77,Poor,23.83%
4.80%,Year-round,Warsteiner Brauerei,,https://cdn.beeradvocate.com/im/beers/935.jpg,Germany,"#42,845","2,151",897,3.44,Okay,15.12%
5.30%,Rotating,Firestone Walker Brewing Co.,,https://cdn.beeradvocate.com/im/beers/83473.jpg,"California, United States","#5,548","1,994",317,3.94,Very Good,10.66%
4.40%,Year-round,North Coast Brewing Co.,,https://cdn.beeradvocate.com/im/beers/409.jpg,"California, United States","#19,651","1,980",718,3.77,Very Good,12.2%
4.80%,Year-round,Bitburger Brauerei,,https://cdn.beeradvocate.com/im/beers/1641.jpg,Germany,"#42,536","1,856",827,3.46,Okay,16.18%
5.40%,Year-round,Sixpoint Brewery,,https://cdn.beeradvocate.com/im/beers/62989.jpg,"New York, United States","#5,919","1,798",451,3.93,Very Good,11.45%
4.50%,Summer,Tröegs Brewing Company,,https://cdn.beeradvocate.com/im/beers/4108.jpg,"Pennsylvania, United States","#24,038","1,669",620,3.74,Good,12.03%
5.20%,Year-round,Sierra Nevada Brewing Co.,,https://cdn.beeradvocate.com/im/beers/144200.jpg,"California, United States","#15,715","1,584",354,3.8,Very Good,10.26%
5.00%,Year-round,New Glarus Brewing Company,,https://cdn.beeradvocate.com/im/beers/57471.jpg,"Wisconsin, United States","#12,472","1,480",318,3.83,Very Good,12.27%
4.70%,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",,https://cdn.beeradvocate.com/im/beers/1283.jpg,Mexico,"#43,614","1,183",451,3.37,Okay,17.21%
5.50%,Year-round,Left Hand Brewing Company,,https://cdn.beeradvocate.com/im/beers/24651.jpg,"Colorado, United States","#34,154","1,170",386,3.66,Good,14.48%
4.90%,Year-round,St. Pauli Brauerei C.L. Wilh. Brandt Gmbh & Co.,,https://cdn.beeradvocate.com/im/beers/700.jpg,Germany,"#45,086","1,158",423,2.87,Poor,22.3%
4.80%,Year-round,Radeberger Exportbierbrauerei,,https://cdn.beeradvocate.com/im/beers/799.jpg,Germany,"#38,407","1,098",440,3.6,Good,14.17%
5.10%,Year-round,Brooklyn Brewery,,https://cdn.beeradvocate.com/im/beers/788.jpg,"New York, United States","#35,028","1,079",494,3.65,Good,12.05%
5.50%,Year-round,Matt Brewing Company / Saranac Brewery,,https://cdn.beeradvocate.com/im/beers/903.jpg,"New York, United States","#43,760",926,482,3.35,Okay,14.03%
4.90%,Year-round,Friesisches Brauhaus zu Jever GmbH & Co KG,,https://cdn.beeradvocate.com/im/beers/2212.jpg,Germany,"#40,013",724,333,3.56,Good,16.01%
5.40%,Rotating,Stoudts Brewing Co.,,https://cdn.beeradvocate.com/im/beers/5411.jpg,"Pennsylvania, United States","#6,660",709,378,3.92,Very Good,11.73%
4.90%,Year-round,Sly Fox Brewing Company,,https://cdn.beeradvocate.com/im/beers/8787.jpg,"Pennsylvania, United States","#17,283",707,343,3.79,Very Good,11.35%
4.90%,Year-round,König-Brauerei GmbH,,https://cdn.beeradvocate.com/im/beers/137.jpg,Germany,"#18,587",681,308,3.78,Very Good,14.02%
5.10%,Year-round,Bayerische Staatsbrauerei Weihenstephan,,https://cdn.beeradvocate.com/im/beers/12599.jpg,Germany,"#6,269",635,175,3.93,Very Good,11.45%
4.80%,Year-round,Trumer Brauerei Berkeley,,https://cdn.beeradvocate.com/im/beers/12679.jpg,"California, United States","#13,910",635,272,3.82,Very Good,12.83%
5.00%,Year-round,Anadolu Efes Brewery,,https://cdn.beeradvocate.com/im/beers/1506.jpg,Turkey,"#44,746",623,289,3.1,Okay,20.65%
4.80%,Year-round,Krombacher Brauerei,,https://cdn.beeradvocate.com/im/beers/1499.jpg,Germany,"#43,408",579,172,3.38,Okay,16.57%
6.00%,Year-round,Brauerei Beck & Co.,,https://cdn.beeradvocate.com/im/beers/88206.jpg,Germany,"#45,145",574,153,2.77,Poor,23.47%
5.10%,Rotating,Goose Island Beer Co.,,https://cdn.beeradvocate.com/im/beers/185345.jpg,"Illinois, United States","#38,706",559,141,3.59,Good,10.58%
7.00%,Rotating,Abita Brewing Co.,,https://cdn.beeradvocate.com/im/beers/60284.jpg,"Louisiana, United States","#29,584",542,241,3.7,Good,12.16%
4.90%,Year-round,Stieglbrauerei zu Salzburg GmbH,,https://cdn.beeradvocate.com/im/beers/43252.jpg,Austria,"#39,132",530,183,3.58,Good,13.69%
5.60%,Rotating,Hill Farmstead Brewery,,https://cdn.beeradvocate.com/im/beers/88970.jpg,"Vermont, United States","#2,512",527,74,4.09,Exceptional,8.31%
5.70%,Summer,SweetWater Brewing Company,,https://cdn.beeradvocate.com/im/beers/36744.jpg,"Georgia, United States","#42,644",526,161,3.44,Okay,13.95%
5.20%,Year-round,Smuttynose Brewing Company,,https://cdn.beeradvocate.com/im/beers/61326.jpg,"New Hampshire, United States","#25,579",517,118,3.73,Good,11.8%
5.50%,Year-round,SweetWater Brewing Company,,https://cdn.beeradvocate.com/im/beers/124428.jpg,"Georgia, United States","#41,900",484,70,3.48,Okay,14.08%
4.90%,Summer,Saint Arnold Brewing Company,,https://cdn.beeradvocate.com/im/beers/1071.jpg,"Texas, United States","#40,191",483,161,3.55,Good,14.93%
5.00%,Year-round,Two Roads Brewing Company,,https://cdn.beeradvocate.com/im/beers/88265.jpg,"Connecticut, United States","#22,796",476,99,3.75,Very Good,12%
5.80%,Year-round,Arrogant Brewing,,https://cdn.beeradvocate.com/im/beers/225609.jpg,"California, United States","#6,453",471,153,3.93,Very Good,8.91%
5.00%,Year-round,Bavaria Brouwerij N.V.,,https://cdn.beeradvocate.com/im/beers/1422.jpg,Netherlands,"#44,903",466,249,3,Okay,19.67%
5.00%,Year-round,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/161925.jpg,"Massachusetts, United States","#37,603",419,96,3.61,Good,10.8%
5.10%,Year-round,Badische Staatsbrauerei Rothaus AG,,https://cdn.beeradvocate.com/im/beers/17015.jpg,Germany,"#3,427",416,158,4.04,Exceptional,12.62%
4.90%,Year-round,Paulaner Brauerei GmbH & Co. KG,,https://cdn.beeradvocate.com/im/beers/1784.jpg,Germany,"#26,820",409,202,3.72,Good,12.37%
5.00%,Year-round,New England Brewing Co.,,https://cdn.beeradvocate.com/im/beers/16106.jpg,"Connecticut, United States","#25,603",401,168,3.73,Good,12.33%
5.20%,Year-round,Brauerei Pinkus Mueller,,https://cdn.beeradvocate.com/im/beers/81.jpg,Germany,"#13,250",397,253,3.83,Very Good,12.53%
5.30%,Summer,Real Ale Brewing Company,,https://cdn.beeradvocate.com/im/beers/60865.jpg,"Texas, United States","#10,662",384,61,3.86,Very Good,11.66%
5.50%,Year-round,Half Acre Beer Company,,https://cdn.beeradvocate.com/im/beers/91426.jpg,"Illinois, United States","#25,620",369,61,3.73,Good,10.99%
4.90%,Year-round,Wernesgrüner Brauerei AG,,https://cdn.beeradvocate.com/im/beers/8653.jpg,Germany,"#43,472",362,182,3.36,Okay,15.77%
5.20%,Year-round,Coney Island Brewing Company,,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"New York, United States","#38,463",356,102,3.59,Good,12.53%
5.50%,Year-round,Evil Twin Brewing,,https://cdn.beeradvocate.com/im/beers/88252.jpg,"New York, United States","#34,600",356,68,3.65,Good,10.68%
5.10%,Rotating,Jack's Abby Brewing,,https://cdn.beeradvocate.com/im/beers/112883.jpg,"Massachusetts, United States","#11,566",352,80,3.85,Very Good,8.31%
5.20%,Year-round,De Brabandere,,https://cdn.beeradvocate.com/im/beers/2480.jpg,Belgium,"#43,721",342,181,3.33,Okay,15.92%
4.80%,Year-round,Brauerei C. & A. Veltins GmbH & Co.,,https://cdn.beeradvocate.com/im/beers/458.jpg,Germany,"#42,286",332,161,3.45,Okay,13.33%
5.00%,Year-round,Kulmbacher Brauerei AG,,https://cdn.beeradvocate.com/im/beers/2408.jpg,Germany,"#39,275",324,188,3.57,Good,14.01%
5.00%,Summer,Sierra Nevada Brewing Co.,,https://cdn.beeradvocate.com/im/beers/3558.jpg,"California, United States","#33,224","4,255","1,611",3.67,Good,12.81%
4.40%,Year-round,Plzeňský Prazdroj,,https://cdn.beeradvocate.com/im/beers/429.jpg,Czech Republic,"#39,052","3,911","1,501",3.59,Good,16.16%
4.90%,Rotating,Boston Beer Company (Samuel Adams),,https://cdn.beeradvocate.com/im/beers/54904.jpg,"Massachusetts, United States","#21,044","3,690","1,518",3.76,Very Good,14.63%
5.30%,Year-round,Oskar Blues Grill & Brew,,https://cdn.beeradvocate.com/im/beers/48139.jpg,"Colorado, United States","#39,036","3,257",902,3.59,Good,12.53%
6.20%,Year-round,Lagunitas Brewing Company,,https://cdn.beeradvocate.com/im/beers/19589.jpg,"California, United States","#35,965","2,625",758,3.64,Good,12.36%
5.00%,Year-round,"Budějovický Budvar, n.p.",,https://cdn.beeradvocate.com/im/beers/6715.jpg,Czech Republic,"#39,412","1,564",818,3.58,Good,15.36%
6.00%,Year-round,Dogfish Head Craft Brewery,,https://cdn.beeradvocate.com/im/beers/98220.jpg,"Delaware, United States","#18,364","1,501",271,3.78,Very Good,11.11%
4.80%,Year-round,New Belgium Brewing,,https://cdn.beeradvocate.com/im/beers/933.jpg,"Colorado, United States","#41,023","1,363",428,3.53,Good,12.75%
5.00%,Year-round,"Bell's Brewery, Inc.",,https://cdn.beeradvocate.com/im/beers/33245.jpg,"Michigan, United States","#36,638","1,110",410,3.63,Good,12.67%
5.00%,Year-round,Pivovary Staropramen,,https://cdn.beeradvocate.com/im/beers/1317.jpg,Czech Republic,"#43,756",863,347,3.35,Okay,16.42%
5.30%,Rotating,Great Lakes Brewing Co.,,https://cdn.beeradvocate.com/im/beers/54795.jpg,"Ohio, United States","#21,264",725,198,3.76,Very Good,11.44%
5.40%,Winter,Great Divide Brewing Company,,https://cdn.beeradvocate.com/im/beers/76886.jpg,"Colorado, United States","#37,084",521,154,3.62,Good,11.88%
4.70%,Year-round,Pivovar Zlaty Bazant a.s.,,https://cdn.beeradvocate.com/im/beers/3349.jpg,Slovak Republic,"#43,553",486,276,3.36,Okay,16.07%
5.30%,Year-round,Foothills Brewing Company - Downtown Brewpub,,https://cdn.beeradvocate.com/im/beers/22651.jpg,"North Carolina, United States","#34,768",472,111,3.65,Good,12.33%
5.00%,Year-round,Steam Whistle Brewing,,https://cdn.beeradvocate.com/im/beers/2189.jpg,"Ontario, Canada","#42,431",455,148,3.45,Okay,16.23%
5.00%,Year-round,Karlovaċka Pivovara,,https://cdn.beeradvocate.com/im/beers/4877.jpg,Croatia (Hrvatska),"#44,837",420,211,3.04,Okay,17.11%
