ABV,Availaility,Brewer,BrosScore,ImageLink,Location,Name,Ranking,RatingCount,ReviewCount,Score,ScoreClass,Style,URL,pDev
5.00,Year-round,Labatt Brewing Company Ltd.,2.6,https://cdn.beeradvocate.com/im/beers/1371.jpg,"Ontario, Canada",Labatt Blue,45256,2098,662,2.65,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/478/1371/,24.15
5.00,Year-round,Foster's Group Limited,2.45,https://cdn.beeradvocate.com/im/beers/918.jpg,Australia,Foster's Lager,45300,2069,653,2.53,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/575/918/,25.3
4.50,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.8,https://cdn.beeradvocate.com/im/beers/848.jpg,Mexico,Tecate,45299,2064,586,2.53,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/848/,26.09
4.50,Year-round,Grupo Modelo S.A. de C.V.,2.28,https://cdn.beeradvocate.com/im/beers/2755.jpg,Mexico,Pacifico Cerveza Clara,45224,1993,546,2.71,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/75/2755/,23.99
4.70,Year-round,Margaritaville Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/34804.jpg,"Florida, United States",Landshark Lager,45267,1887,494,2.62,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/16098/34804/,26.34
5.00,Year-round,Molson Coors Canada,3.31,https://cdn.beeradvocate.com/im/beers/1312.jpg,"Ontario, Canada",Molson Canadian Lager,45152,1794,530,2.82,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/1312/,23.76
4.80,Year-round,"Tsingtao Brewery Co., Ltd.",3.7,https://cdn.beeradvocate.com/im/beers/767.jpg,China,Tsingtao,45186,1760,603,2.77,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/281/767/,23.47
4.30,Year-round,Anheuser-Busch,1.65,https://cdn.beeradvocate.com/im/beers/670.jpg,"Missouri, United States",Busch Beer,45357,1725,465,2.01,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/670/,36.32
5.90,Year-round,Anheuser-Busch,2.7,https://cdn.beeradvocate.com/im/beers/653.jpg,"Missouri, United States",Natural Ice,45371,1433,353,1.77,Awful,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/653/,43.5
4.50,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.43,https://cdn.beeradvocate.com/im/beers/2803.jpg,Mexico,Sol,45311,1427,401,2.46,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/2803/,27.24
5.00,Year-round,Moosehead Breweries Ltd.,3.45,https://cdn.beeradvocate.com/im/beers/1053.jpg,"New Brunswick, Canada",Moosehead Lager,44916,1407,508,3.04,Okay,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/379/1053/,22.04
5.00,Year-round,Narragansett Brewing Co.,3.9,https://cdn.beeradvocate.com/im/beers/7406.jpg,"Rhode Island, United States",Narragansett Lager,43739,1301,405,3.36,Okay,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/213/7406/,16.67
5.50,Year-round,Miller Brewing Co.,2.59,https://cdn.beeradvocate.com/im/beers/1299.jpg,"Wisconsin, United States",Icehouse,45354,1257,380,2.04,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1299/,35.29
5.50,Year-round,Anheuser-Busch,1.6,https://cdn.beeradvocate.com/im/beers/1642.jpg,"Missouri, United States",Bud Ice,45363,1148,285,1.86,Awful,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/29/1642/,38.17
5.00,Year-round,Asia Pacific Breweries Limited,2.79,https://cdn.beeradvocate.com/im/beers/2176.jpg,Singapore,Tiger Beer,45228,1059,395,2.69,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/727/2176/,22.3
4.60,Year-round,Hamm's Brewing Co.,3.2,https://cdn.beeradvocate.com/im/beers/870.jpg,"Wisconsin, United States",Hamm's,45190,883,321,2.74,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/320/870/,28.83
4.60,Year-round,Pabst Brewing Company,2.44,https://cdn.beeradvocate.com/im/beers/1332.jpg,"California, United States",Old Milwaukee Beer,45324,821,264,2.33,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1332/,33.48
4.65,Year-round,Pabst Brewing Company,2.09,https://cdn.beeradvocate.com/im/beers/1719.jpg,"California, United States",Lone Star Beer,45295,804,229,2.5,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1719/,28
4.80,Year-round,Miller Brewing Co.,1.91,https://cdn.beeradvocate.com/im/beers/1286.jpg,"Wisconsin, United States",Milwaukee's Best,45362,780,257,1.86,Awful,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1286/,38.71
5.00,Year-round,Cervecería Nacional Dominicana,2.35,https://cdn.beeradvocate.com/im/beers/2910.jpg,Dominican Republic,Presidente,45201,775,263,2.72,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/912/2910/,24.26
5.00,Year-round,Miller Brewing Co.,2.06,https://cdn.beeradvocate.com/im/beers/1207.jpg,"Wisconsin, United States",Red Dog,45353,764,190,2.01,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1207/,38.31
5.90,Year-round,Coors Brewing Company (Molson-Coors),0,https://cdn.beeradvocate.com/im/beers/2947.jpg,"Colorado, United States",Keystone Ice,45372,728,160,1.7,Awful,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/306/2947/,38.24
4.64,Year-round,Pabst Brewing Company,3.65,https://cdn.beeradvocate.com/im/beers/1727.jpg,"California, United States",Old Style,45136,716,212,2.81,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1727/,26.33
5.90,Year-round,Miller Brewing Co.,3.27,https://cdn.beeradvocate.com/im/beers/1484.jpg,"Wisconsin, United States",Milwaukee's Best Ice,45350,680,214,2.07,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/105/1484/,40.58
4.50,Year-round,Genesee Brewing Co. / Dundee Brewing Co.,2.76,https://cdn.beeradvocate.com/im/beers/865.jpg,"New York, United States",Genesee Beer,45238,612,234,2.65,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/302/865/,27.55
4.60,Year-round,Jacob Leinenkugel Brewing Company,0,https://cdn.beeradvocate.com/im/beers/3333.jpg,"Wisconsin, United States",Leinenkugel's Original,45012,592,177,2.94,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/710/3333/,19.39
4.60,Year-round,Pabst Brewing Company,0,https://cdn.beeradvocate.com/im/beers/1330.jpg,"California, United States",Stroh's,45274,588,193,2.55,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/1330/,27.84
4.60,Year-round,August Schell Brewing Company,0,https://cdn.beeradvocate.com/im/beers/10364.jpg,"Minnesota, United States",Grain Belt Premium,44288,572,203,3.25,Okay,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/417/10364/,19.38
4.60,Year-round,Cerveceria Costa Rica,0,https://cdn.beeradvocate.com/im/beers/3940.jpg,Costa Rica,Imperial,45166,552,198,2.76,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1491/3940/,21.38
4.28,Year-round,Pabst Brewing Company,0,https://cdn.beeradvocate.com/im/beers/7363.jpg,"California, United States",National Bohemian Beer,45092,552,164,2.85,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/447/7363/,24.56
4.50,Year-round,Pittsburgh Brewing Co.,2.49,https://cdn.beeradvocate.com/im/beers/2680.jpg,"Pennsylvania, United States",Iron City Beer,45287,543,272,2.51,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/410/2680/,27.49
4.50,Year-round,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",2.8,https://cdn.beeradvocate.com/im/beers/1284.jpg,Mexico,Carta Blanca,45222,527,207,2.66,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/57/1284/,23.68
4.70,Year-round,JOS. Schlitz Brewing Co. (Pabst),0,https://cdn.beeradvocate.com/im/beers/44315.jpg,"Illinois, United States",Schlitz Gusto (Classic 1960's Formula),40539,513,272,3.54,Good,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/106/44315/,17.8
5.60,Year-round,Molson Coors Canada,2.96,https://cdn.beeradvocate.com/im/beers/1359.jpg,"Ontario, Canada",Molson Ice,45288,497,178,2.5,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/433/1359/,26.8
4.90,Year-round,Cervecería y Maltería Quilmes / Grupo Bemberg,0,https://cdn.beeradvocate.com/im/beers/3637.jpg,Argentina,Quilmes,45214,484,238,2.67,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/1252/3637/,23.22
4.50,Year-round,"Lion Brewery, Inc.",0,https://cdn.beeradvocate.com/im/beers/5412.jpg,"Pennsylvania, United States",Lionshead Pilsner,45037,480,164,2.9,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/150/5412/,20.34
4.50,Year-round,United Breweries - UB Group,2.18,https://cdn.beeradvocate.com/im/beers/2970.jpg,India,Taj Mahal Premium Lager,45240,474,215,2.62,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/91/2970/,24.43
5.20,Year-round,Carib Brewery Limited,3.8,https://cdn.beeradvocate.com/im/beers/750.jpg,Trinidad & Tobago,Carib Lager,45119,443,172,2.8,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/272/750/,24.29
5.00,Year-round,San Miguel Brewery Inc.,3.08,https://cdn.beeradvocate.com/im/beers/922.jpg,Philippines,San Miguel Premium Lager,45149,414,175,2.76,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/355/922/,21.74
4.60,Year-round,Dixie Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/1185.jpg,"Louisiana, United States",Dixie,45111,384,176,2.8,Poor,American Adjunct Lager,https://www.beeradvocate.com/beer/profile/404/1185/,23.57
5.10,Year-round,Bayerische Staatsbrauerei Weihenstephan,4.51,https://cdn.beeradvocate.com/im/beers/712.jpg,Germany,Weihenstephaner Original,2252,2352,914,4.09,Exceptional,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/252/712/,11.98
5.10,Year-round,Hofbräuhaus München,4.05,https://cdn.beeradvocate.com/im/beers/3062.jpg,Germany,Hofbräu Original,15731,1602,504,3.8,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/4686/3062/,13.16
5.20,Year-round,Spaten-Franziskaner-Bräu,4.12,https://cdn.beeradvocate.com/im/beers/1944.jpg,Germany,Spaten Münchner Hell (Premium Lager),30972,1453,612,3.69,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/142/1944/,14.09
5.00,Year-round,Surly Brewing Company,0,https://cdn.beeradvocate.com/im/beers/44531.jpg,"Minnesota, United States",Hell Lager,13617,1165,334,3.82,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/13014/44531/,10.99
4.90,Year-round,Paulaner Brauerei GmbH & Co. KG,3.74,https://cdn.beeradvocate.com/im/beers/388.jpg,Germany,Paulaner Original Münchner,25566,1046,463,3.73,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/124/388/,12.06
4.80,Year-round,Victory Brewing Company - Downingtown,3.6,https://cdn.beeradvocate.com/im/beers/1002.jpg,"Pennsylvania, United States",Victory Helles Lager,39307,897,370,3.58,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/345/1002/,13.41
5.20,Year-round,Löwenbräu AG,3.43,https://cdn.beeradvocate.com/im/beers/280.jpg,Germany,Löwenbräu Original,44197,863,396,3.28,Okay,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/95/280/,17.07
5.00,Rotating,Cigar City Brewing,0,https://cdn.beeradvocate.com/im/beers/73559.jpg,"Florida, United States",Hotter Than Helles Lager,38854,809,114,3.59,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/17981/73559/,12.53
4.30,Year-round,Brauerei Heller-Trum / Schlenkerla,0,https://cdn.beeradvocate.com/im/beers/29145.jpg,Germany,Aecht Schlenkerla Helles Lagerbier,5471,709,391,3.95,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/263/29145/,11.9
5.20,Summer,3 Floyds Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/22981.jpg,"Indiana, United States",Gorch Fock,32974,650,195,3.67,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/26/22981/,13.08
5.10,Year-round,Maui Brewing Co.,3.58,https://cdn.beeradvocate.com/im/beers/43605.jpg,"Hawaii, United States",Bikini Blonde Lager,37737,577,188,3.61,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/16057/43605/,12.47
5.50,Year-round,Hacker-Pschorr Bräu GmbH,3.97,https://cdn.beeradvocate.com/im/beers/31425.jpg,Germany,Hacker-Pschorr Münchner Gold,28374,576,247,3.71,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/76/31425/,12.13
4.50,Rotating,Ballast Point Brewing Company,0,https://cdn.beeradvocate.com/im/beers/38861.jpg,"California, United States",Longfin Lager,37736,571,117,3.61,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/199/38861/,12.74
5.60,Year-round,Augustiner-Bräu Wagner KG,0,https://cdn.beeradvocate.com/im/beers/4139.jpg,Germany,Augustiner Bräu Edelstoff,7730,552,253,3.9,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/820/4139/,13.08
5.00,Year-round,Stoudts Brewing Co.,4.5,https://cdn.beeradvocate.com/im/beers/2106.jpg,"Pennsylvania, United States",Stoudt's Gold Lager,7261,541,259,3.91,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/394/2106/,13.81
4.20,Year-round,New Glarus Brewing Company,4.08,https://cdn.beeradvocate.com/im/beers/28268.jpg,"Wisconsin, United States",Yokel,8983,516,197,3.88,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/590/28268/,11.34
5.20,Year-round,Augustiner-Bräu Wagner KG,4.28,https://cdn.beeradvocate.com/im/beers/2560.jpg,Germany,Augustiner Bräu Lagerbier Hell,1646,421,133,4.17,Exceptional,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/820/2560/,12.71
4.90,Year-round,Stieglbrauerei zu Salzburg GmbH,0,https://cdn.beeradvocate.com/im/beers/3319.jpg,Austria,Stiegl Goldbräu,41435,421,179,3.5,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/817/3319/,15.14
4.50,Summer,The Schlafly Tap Room,3.61,https://cdn.beeradvocate.com/im/beers/49145.jpg,"Missouri, United States",Schlafly Summer Lager,40947,383,107,3.52,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/583/49145/,13.07
5.40,Spring,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/260797.jpg,"Massachusetts, United States",Fresh As Helles,36227,383,122,3.63,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/35/260797/,11.02
5.20,Year-round,Jack's Abby Brewing,4.17,https://cdn.beeradvocate.com/im/beers/153110.jpg,"Massachusetts, United States",House Lager,8599,378,100,3.89,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/26520/153110/,9.51
4.90,Rotating,Sly Fox Brewing Company,0,https://cdn.beeradvocate.com/im/beers/24283.jpg,"Pennsylvania, United States",Helles Golden Lager,33705,327,74,3.66,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/1853/24283/,13.11
4.90,Year-round,von Trapp Brewing,0,https://cdn.beeradvocate.com/im/beers/57660.jpg,"Vermont, United States",Von Trapp Golden Helles Lager,10317,275,74,3.87,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/22512/57660/,10.34
4.80,Year-round,Klosterbrauerei Andechs,0,https://cdn.beeradvocate.com/im/beers/105785.jpg,Germany,Andechser Vollbier Hell,4210,253,68,4.02,Exceptional,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/911/105785/,10.95
4.00,Year-round,Pennsylvania Brewing Company,4.1,https://cdn.beeradvocate.com/im/beers/384.jpg,"Pennsylvania, United States",Penn Gold,19349,243,135,3.78,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/125/384/,11.38
4.60,Spring,Southern Tier Brewing Company,0,https://cdn.beeradvocate.com/im/beers/147101.jpg,"New York, United States",Where The Helles Summer?,19577,206,44,3.78,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/3818/147101/,9.79
4.80,Year-round,Henninger Bräu AG,3.08,https://cdn.beeradvocate.com/im/beers/9298.jpg,Germany,Henninger Premium Lager,44848,203,138,2.98,Poor,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/3923/9298/,18.46
5.20,Summer,Christian Moerlein Brewing Company,0,https://cdn.beeradvocate.com/im/beers/43881.jpg,"Ohio, United States",Christian Moerlein Lager House Original Golden Helles,41564,188,60,3.47,Okay,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/10991/43881/,14.7
4.80,Year-round,Thomas Hooker Brewing Company,4.28,https://cdn.beeradvocate.com/im/beers/12993.jpg,"Connecticut, United States",Thomas Hooker Munich-Style Lager,7943,184,119,3.92,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/696/12993/,11.73
5.00,Year-round,Rahr & Sons Brewing Company,0,https://cdn.beeradvocate.com/im/beers/73681.jpg,"Texas, United States",Rahr's Blonde,42882,172,18,3.38,Okay,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/9969/73681/,17.16
5.00,Summer,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/219880.jpg,"Massachusetts, United States",Heaven Or Helles,33179,172,40,3.66,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/35/219880/,10.93
5.50,Rotating,Cigar City Brewing,0,https://cdn.beeradvocate.com/im/beers/148908.jpg,"Florida, United States",Strawberry Shortcake,22202,163,22,3.76,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/17981/148908/,9.57
4.50,Year-round,Devils Backbone Brewing Company,0,https://cdn.beeradvocate.com/im/beers/46792.jpg,"Virginia, United States",Gold Leaf Lager,39398,158,38,3.55,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/18539/46792/,12.96
4.80,Year-round,Rahr & Sons Brewing Company,0,https://cdn.beeradvocate.com/im/beers/19956.jpg,"Texas, United States",Blonde Lager,43245,158,75,3.34,Okay,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/9969/19956/,16.17
4.90,Year-round,Mahr's Bräu,4.03,https://cdn.beeradvocate.com/im/beers/13016.jpg,Germany,Mahr's Hell,5983,148,75,3.98,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/428/13016/,10.05
5.40,Year-round,Fordham Brewing Company,0,https://cdn.beeradvocate.com/im/beers/44831.jpg,"Delaware, United States",Helles Lager,40464,146,56,3.51,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/4067/44831/,11.97
5.50,Year-round,Hacker-Pschorr Bräu GmbH,3.35,https://cdn.beeradvocate.com/im/beers/9603.jpg,Germany,Hacker-Pschorr Edelhell,33817,140,112,3.65,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/76/9603/,11.78
4.90,Year-round,Hacker-Pschorr Bräu GmbH,4.1,https://cdn.beeradvocate.com/im/beers/869.jpg,Germany,Hacker-Pschorr Münchner Hell,16948,132,54,3.81,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/76/869/,12.86
5.80,Year-round,Klosterbrauerei Andechs,0,https://cdn.beeradvocate.com/im/beers/4528.jpg,Germany,Andechser Spezial Hell,15044,131,67,3.83,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/911/4528/,10.44
5.60,Year-round,Klosterbrauerei Weltenburg,0,https://cdn.beeradvocate.com/im/beers/4786.jpg,Germany,Weltenburger Kloster Barock-Hell,9257,129,74,3.91,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/1315/4786/,9.21
5.00,Year-round,Okanagan Spring Brewery,0,https://cdn.beeradvocate.com/im/beers/9444.jpg,"British Columbia, Canada",1516 Bavarian Lager,43368,129,46,3.31,Okay,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/3753/9444/,14.8
4.70,Year-round,Der HirschBrau/Privatbrauerei Höss,4.35,https://cdn.beeradvocate.com/im/beers/3183.jpg,Germany,Neuschwansteiner,35754,123,95,3.62,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/620/3183/,13.54
5.00,Summer,Boston Beer Company (Samuel Adams),0,https://cdn.beeradvocate.com/im/beers/263942.jpg,"Massachusetts, United States",Samuel Adams Golden Hour,35074,121,45,3.63,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/35/263942/,10.19
5.30,Year-round,Ninkasi Brewing Company,0,https://cdn.beeradvocate.com/im/beers/72570.jpg,"Oregon, United States",Helles Belles,36326,121,40,3.61,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/14400/72570/,11.08
5.70,Year-round,Augustiner-Bräu Wagner KG,0,https://cdn.beeradvocate.com/im/beers/12272.jpg,Germany,Augustiner Bräu Munchen Light Export Beer,35047,118,42,3.63,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/820/12272/,13.22
5.40,Rotating,Church Street Brewing Company,0,https://cdn.beeradvocate.com/im/beers/94985.jpg,"Illinois, United States",Heavenly Helles,34975,112,20,3.63,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/30300/94985/,13.22
4.80,Summer,Matt Brewing Company / Saranac Brewery,0,https://cdn.beeradvocate.com/im/beers/48541.jpg,"New York, United States",Saranac Helles,39274,112,78,3.54,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/99/48541/,12.15
4.50,Year-round,Red Oak Brewery,0,https://cdn.beeradvocate.com/im/beers/8824.jpg,"North Carolina, United States",Hummin' Bird,26899,106,34,3.72,Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/2951/8824/,16.4
5.10,Rotating,Surly Brewing Company,0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Minnesota, United States",Fiery Hell,22723,103,12,3.76,Very Good,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/13014/83417/,14.89
5.00,Rotating,Hill Farmstead Brewery,0,https://cdn.beeradvocate.com/im/placeholder-beer.jpg,"Vermont, United States",Marie,3264,101,17,4.14,Exceptional,Munich Helles Lager,https://www.beeradvocate.com/beer/profile/22511/276538/,6.52
5.30,Year-round,Victory Brewing Company - Downingtown,4.1,https://cdn.beeradvocate.com/im/beers/1010.jpg,"Pennsylvania, United States",Prima Pils,3313,5292,2120,4.02,Exceptional,German Pilsener,https://www.beeradvocate.com/beer/profile/345/1010/,11.94
5.00,Year-round,Brauerei Beck & Co.,2.62,https://cdn.beeradvocate.com/im/beers/2435.jpg,Germany,Beck's,45188,2177,718,2.77,Poor,German Pilsener,https://www.beeradvocate.com/beer/profile/32/2435/,23.83
4.80,Year-round,Warsteiner Brauerei,3.72,https://cdn.beeradvocate.com/im/beers/935.jpg,Germany,Warsteiner Premium German Pilsener,42860,2151,897,3.44,Okay,German Pilsener,https://www.beeradvocate.com/beer/profile/360/935/,15.12
5.30,Rotating,Firestone Walker Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/83473.jpg,"California, United States",Pivo Pils,5552,1994,317,3.94,Very Good,German Pilsener,https://www.beeradvocate.com/beer/profile/2210/83473/,10.66
4.40,Year-round,North Coast Brewing Co.,4.09,https://cdn.beeradvocate.com/im/beers/409.jpg,"California, United States",Scrimshaw Pilsner,19687,1980,718,3.77,Very Good,German Pilsener,https://www.beeradvocate.com/beer/profile/112/409/,12.2
4.80,Year-round,Bitburger Brauerei,0,https://cdn.beeradvocate.com/im/beers/1641.jpg,Germany,Bitburger Premium Pils,42554,1856,827,3.46,Okay,German Pilsener,https://www.beeradvocate.com/beer/profile/613/1641/,16.18
5.40,Year-round,Sixpoint Brewery,4.42,https://cdn.beeradvocate.com/im/beers/62989.jpg,"New York, United States",The Crisp,5928,1799,451,3.93,Very Good,German Pilsener,https://www.beeradvocate.com/beer/profile/10607/62989/,11.45
4.50,Summer,Tröegs Brewing Company,0,https://cdn.beeradvocate.com/im/beers/4108.jpg,"Pennsylvania, United States",Tröegs Sunshine Pils,24086,1669,620,3.74,Good,German Pilsener,https://www.beeradvocate.com/beer/profile/694/4108/,12.03
5.20,Year-round,Sierra Nevada Brewing Co.,0,https://cdn.beeradvocate.com/im/beers/144200.jpg,"California, United States",Nooner Pilsner,15744,1584,354,3.8,Very Good,German Pilsener,https://www.beeradvocate.com/beer/profile/140/144200/,10.26
5.00,Year-round,New Glarus Brewing Company,4.3,https://cdn.beeradvocate.com/im/beers/57471.jpg,"Wisconsin, United States",Two Women Lager,12482,1480,318,3.83,Very Good,German Pilsener,https://www.beeradvocate.com/beer/profile/590/57471/,12.27
